baseline,trial_id,case_id,latency_ms,tool_calls
B0,b0_0000,case_clear_fever,0.118,0
B0,b0_0001,case_blur_fever,0.138,0
B0,b0_0002,case_cold_pale,0.062,0
B0,b0_0003,case_cold_yellow_conflict,0.047,0
B0,b0_0004,case_missing_text,0.044,0
B0,b0_0005,case_mouth_bitter,0.045,0
B0,b0_0006,case_mouth_bitter_white_conflict,0.042,0
B0,b0_0007,case_occluded_cold,0.042,0
B0,b0_0008,case_clear_fever,0.043,0
B0,b0_0009,case_blur_fever,0.041,0
B0,b0_0010,case_cold_pale,0.044,0
B0,b0_0011,case_cold_yellow_conflict,0.04,0
B0,b0_0012,case_missing_text,0.041,0
B0,b0_0013,case_mouth_bitter,0.039,0
B0,b0_0014,case_mouth_bitter_white_conflict,0.041,0
B0,b0_0015,case_occluded_cold,0.037,0
B0,b0_0016,case_clear_fever,0.04,0
B0,b0_0017,case_blur_fever,0.048,0
B0,b0_0018,case_cold_pale,0.045,0
B0,b0_0019,case_cold_yellow_conflict,0.039,0
B0,b0_0020,case_missing_text,0.037,0
B0,b0_0021,case_mouth_bitter,0.04,0
B0,b0_0022,case_mouth_bitter_white_conflict,0.082,0
B0,b0_0023,case_occluded_cold,0.042,0
B1,b1_0000,case_clear_fever,0.045,0
B1,b1_0001,case_blur_fever,0.042,0
B1,b1_0002,case_cold_pale,0.044,0
B1,b1_0003,case_cold_yellow_conflict,0.043,0
B1,b1_0004,case_missing_text,0.035,1
B1,b1_0005,case_mouth_bitter,0.037,0
B1,b1_0006,case_mouth_bitter_white_conflict,0.038,0
B1,b1_0007,case_occluded_cold,0.033,0
B1,b1_0008,case_clear_fever,0.038,0
B1,b1_0009,case_blur_fever,0.031,0
B1,b1_0010,case_cold_pale,0.044,0
B1,b1_0011,case_cold_yellow_conflict,0.039,0
B1,b1_0012,case_missing_text,0.035,1
B1,b1_0013,case_mouth_bitter,0.041,0
B1,b1_0014,case_mouth_bitter_white_conflict,0.04,0
B1,b1_0015,case_occluded_cold,0.032,0
B1,b1_0016,case_clear_fever,0.039,0
B1,b1_0017,case_blur_fever,0.034,0
B1,b1_0018,case_cold_pale,0.044,0
B1,b1_0019,case_cold_yellow_conflict,0.045,0
B1,b1_0020,case_missing_text,0.038,1
B1,b1_0021,case_mouth_bitter,0.04,0
B1,b1_0022,case_mouth_bitter_white_conflict,0.043,0
B1,b1_0023,case_occluded_cold,0.05,0
B2,b2_0000,case_clear_fever,0.073,0
B2,b2_0001,case_blur_fever,0.034,0
B2,b2_0002,case_cold_pale,0.06,0
B2,b2_0003,case_cold_yellow_conflict,0.034,1
B2,b2_0004,case_missing_text,0.034,1
B2,b2_0005,case_mouth_bitter,0.039,0
B2,b2_0006,case_mouth_bitter_white_conflict,0.034,1
B2,b2_0007,case_occluded_cold,0.034,0
B2,b2_0008,case_clear_fever,0.041,0
B2,b2_0009,case_blur_fever,0.034,0
B2,b2_0010,case_cold_pale,0.04,0
B2,b2_0011,case_cold_yellow_conflict,0.034,1
B2,b2_0012,case_missing_text,0.031,1
B2,b2_0013,case_mouth_bitter,0.037,0
B2,b2_0014,case_mouth_bitter_white_conflict,0.033,1
B2,b2_0015,case_occluded_cold,0.034,0
B2,b2_0016,case_clear_fever,0.039,0
B2,b2_0017,case_blur_fever,0.033,0
B2,b2_0018,case_cold_pale,0.038,0
B2,b2_0019,case_cold_yellow_conflict,0.033,1
B2,b2_0020,case_missing_text,0.032,1
B2,b2_0021,case_mouth_bitter,0.036,0
B2,b2_0022,case_mouth_bitter_white_conflict,0.036,1
B2,b2_0023,case_occluded_cold,0.032,0
B3,b3_0000,case_clear_fever,0.042,0
B3,b3_0001,case_blur_fever,0.071,1
B3,b3_0002,case_cold_pale,0.041,0
B3,b3_0003,case_cold_yellow_conflict,0.035,1
B3,b3_0004,case_missing_text,0.032,1
B3,b3_0005,case_mouth_bitter,0.058,0
B3,b3_0006,case_mouth_bitter_white_conflict,0.043,1
B3,b3_0007,case_occluded_cold,0.07,1
B3,b3_0008,case_clear_fever,0.038,0
B3,b3_0009,case_blur_fever,0.067,1
B3,b3_0010,case_cold_pale,0.039,0
B3,b3_0011,case_cold_yellow_conflict,0.034,1
B3,b3_0012,case_missing_text,0.032,1
B3,b3_0013,case_mouth_bitter,0.037,0
B3,b3_0014,case_mouth_bitter_white_conflict,0.035,1
B3,b3_0015,case_occluded_cold,0.063,1
B3,b3_0016,case_clear_fever,0.039,0
B3,b3_0017,case_blur_fever,0.064,1
B3,b3_0018,case_cold_pale,0.04,0
B3,b3_0019,case_cold_yellow_conflict,0.034,1
B3,b3_0020,case_missing_text,0.033,1
B3,b3_0021,case_mouth_bitter,0.038,0
B3,b3_0022,case_mouth_bitter_white_conflict,0.031,1
B3,b3_0023,case_occluded_cold,0.061,1
B4,b4_0000,case_clear_fever,0.039,0
B4,b4_0001,case_blur_fever,0.066,1
B4,b4_0002,case_cold_pale,0.046,0
B4,b4_0003,case_cold_yellow_conflict,0.044,1
B4,b4_0004,case_missing_text,0.032,1
B4,b4_0005,case_mouth_bitter,0.037,0
B4,b4_0006,case_mouth_bitter_white_conflict,0.065,1
B4,b4_0007,case_occluded_cold,0.068,1
B4,b4_0008,case_clear_fever,0.041,0
B4,b4_0009,case_blur_fever,0.065,1
B4,b4_0010,case_cold_pale,0.042,0
B4,b4_0011,case_cold_yellow_conflict,0.035,1
B4,b4_0012,case_missing_text,0.035,1
B4,b4_0013,case_mouth_bitter,0.039,0
B4,b4_0014,case_mouth_bitter_white_conflict,0.035,1
B4,b4_0015,case_occluded_cold,0.062,1
B4,b4_0016,case_clear_fever,0.04,0
B4,b4_0017,case_blur_fever,0.063,1
B4,b4_0018,case_cold_pale,0.046,0
B4,b4_0019,case_cold_yellow_conflict,0.034,1
B4,b4_0020,case_missing_text,0.032,1
B4,b4_0021,case_mouth_bitter,0.041,0
B4,b4_0022,case_mouth_bitter_white_conflict,0.038,1
B4,b4_0023,case_occluded_cold,0.098,1
