gate,status,required_for_submission,evidence,reason,next_action
dataset:mimic_cxr_placeholder,blocked,true,/secure/paper2/mimic_cxr_derived.jsonl,controlled-access dataset is only a placeholder or lacks a local derived file,"complete credentialing, derive no-PHI rows outside the repo, and add a local_path"
dataset:mimic_iv_note_placeholder,blocked,true,/secure/paper2/mimic_iv_note_derived.jsonl,controlled-access dataset is only a placeholder or lacks a local derived file,"complete credentialing, derive no-PHI rows outside the repo, and add a local_path"
dataset:sample_open_csv,ready,false,6 case(s) load from samples/paper2_cases.sample.csv,registered dataset loads through the Paper II dataset bridge,use this dataset for replay or keep as software fixture
dataset:synthetic_builtin,ready,false,8 case(s) load from builtin_synthetic,registered dataset loads through the Paper II dataset bridge,use this dataset for replay or keep as software fixture
gate:real_dataset_main_experiment,blocked,true,0 non-synthetic registered dataset(s) load; compliance=doctor/paper2/experiments/results/dataset_compliance_audit.csv,only synthetic fixtures or controlled placeholders are currently ready,"connect a licensed public/controlled no-PHI dataset, run compliance audit, and rerun dataset replay"
gate:entity_map_coverage,ready,false,"coverage=1.0000, fhir_target_coverage=1.0000",project-local KG entities have auditable placeholder mappings,keep coverage at 1.0 while replacing placeholders with licensed identifiers
gate:licensed_ontology_identifiers,blocked,true,placeholder_only=10,ICD/SNOMED fields are still placeholder-only,replace placeholders with license-approved ICD/SNOMED identifiers
gate:external_fhir_validator_config,blocked,true,PAPER2_FHIR_VALIDATOR_CMD is unset,only local structural validation is configured,set PAPER2_FHIR_VALIDATOR_CMD to the official FHIR validator CLI template
gate:official_fhir_replay,blocked,true,"120 replay row(s), modes=local-structural",current replay is not an all-valid external official validator run,rerun FHIR replay with the official validator and resolve all errors
gate:franka_api_server_probe,partial,true,probe skipped,runtime probe was disabled for this audit run,rerun without --skip-franka-probe before claiming robot evidence
gate:gazebo_fr3_closed_loop,blocked,true,doctor/paper2/experiments/results/franka_closed_loop.csv,no Gazebo/FR3 closed-loop evidence CSV exists,run fake hardware/Gazebo or FR3 closed-loop trials and export the CSV
gate:graph_attention_lite,ready,false,doctor/paper2/experiments/results/graph_attention.csv,dependency-light graph-attention-lite result exists,"keep as a software baseline, not a substitute for the large graph experiment"
gate:large_gnn_gat_experiment,blocked,true,doctor/paper2/experiments/results/large_gnn_evidence.csv,no large licensed-ontology GNN/GAT evidence file exists,train/evaluate GNN or GAT on the licensed graph and archive the evidence CSV
gate:expert_review_protocol,ready,false,"doctor/paper2/experiments/expert_review/PROTOCOL.md, doctor/paper2/experiments/expert_review/review_packet.csv",review protocol and packet exist,use the packet structure for real blinded review
gate:real_expert_review,blocked,true,doctor/paper2/experiments/expert_review/real_annotations.csv; synthetic=doctor/paper2/experiments/expert_review/synthetic_annotations.csv,real annotation CSV not found: /home/ros/work/bot-paper2/franka_ros2/doctor/paper2/experiments/expert_review/real_annotations.csv,collect real blinded annotations and replace synthetic agreement evidence
gate:bilingual_paper_artifacts,ready,true,"docs-zh/paper2/论文II_中文稿_20260531.md, docs-zh/paper2/PaperII_English_Draft_20260531.md, doctor/paper2/latex/main-zh.pdf, doctor/paper2/latex/main.pdf",Chinese and English Markdown/PDF artifacts exist,keep both language versions synchronized after each evidence update
